country,count
Italy,100
Germany,79
UK,75
USA,70
Monaco,66
Belgium,65
France,61
Spain,57
Canada,50
Brazil,47
Japan,37
Australia,35
Hungary,35
Austria,34
Netherlands,30
South Africa,23
Mexico,20
Argentina,20
Malaysia,19
Portugal,17
Bahrain,17
China,16
Singapore,12
UAE,12
Turkey,8
Russia,7
Sweden,6
Switzerland,5
Korea,4
Azerbaijan,4
India,3
Morocco,1
